Country Code,Country,Year,Agriculture_fossil_co2,Buildings_fossil_co2,Dom_Avi_fossil_co2,Dom_Ship_fossil_co2,Energy_fossil_co2,Industry_fossil_co2,Transport_fossil_co2,Waste_fossil_co2,Agriculture_ch4_ar5,Buildings_ch4_ar5,Dom_Avi_ch4_ar5,Dom_Ship_ch4_ar5,Energy_ch4_ar5,Industry_ch4_ar5,Transport_ch4_ar5,Waste_ch4_ar5,Agriculture_n2o_ar5,Buildings_n2o_ar5,Dom_Avi_n2o_ar5,Dom_Ship_n2o_ar5,Energy_n2o_ar5,Indirect_n2o_ar5,Industry_n2o_ar5,Transport_n2o_ar5,Waste_n2o_ar5,Industry_f_gases_ar5,Agriculture_GWP_100_AR5_GHG,Buildings_GWP_100_AR5_GHG,Dom_Avi_GWP_100_AR5_GHG,Dom_Ship_GWP_100_AR5_GHG,Energy_GWP_100_AR5_GHG,Indirect_GWP_100_AR5_GHG,Industry_GWP_100_AR5_GHG,Transport_GWP_100_AR5_GHG,Waste_GWP_100_AR5_GHG,total_GWP_100_AR5_GHG,GDP,GDP_Per_Capita,Labour_Force,Population
GEO,Georgia,2003,0.0,588.2892881,0.0,0.0,645.9516822,1481.662558,1238.975151,0.0,2966.015175,216.6761679,0.0,0.0,0.327122201,117.7966692,11.25968241,1567.12682,596.5959569,33.93410319,0.0,0.0,0.425516208,34.8697049,558.7371653,15.55815693,62.57260746,184.6761192,3562.611132,838.8995592,0.0,0.0,646.7043206,34.8697049,2342.872511,1265.792991,1629.699428,10321.44965,3991377904.0,1010.031516,2075003.0,3951736
GEO,Georgia,2004,0.0,684.1659641,0.0,0.0,833.0918933,1588.77583,1203.005699,0.0,2823.137725,217.0303759,0.0,0.0,0.423145799,116.084022,10.36738523,1583.307287,582.3253895,37.19943371,0.0,0.0,0.564060389,34.47515241,572.519215,17.1816362,63.46390009,238.1902938,3405.463115,938.3957737,0.0,0.0,834.0790995,34.47515241,2515.569361,1230.55472,1646.771187,10605.30841,5125365192.0,1305.047486,2036816.0,3927340
GEO,Georgia,2005,0.0,996.8861228,0.0,0.0,882.6179599,1584.211194,1514.215679,0.0,2791.798726,126.4654948,0.0,0.0,0.451088289,118.9516927,12.16395073,1609.372342,586.1974972,31.59818997,0.0,0.0,0.682770006,32.90734289,570.8492421,22.3542858,60.78291112,290.4209104,3377.996223,1154.949808,0.0,0.0,883.7518182,32.90734289,2564.433039,1548.733916,1670.155253,11232.9274,6410912050.0,1642.783594,2016542.0,3902469
GEO,Georgia,2006,0.0,981.4316445,0.0,0.0,1157.529132,1969.702297,1571.728988,0.0,2611.065432,134.7026047,0.0,0.0,0.749111183,114.1558239,12.17405185,1643.04879,535.8395615,34.89919842,0.0,0.0,0.642097867,34.44800186,649.2192497,25.83759971,58.6524851,343.9215826,3146.904994,1151.033448,0.0,0.0,1158.920341,34.44800186,3076.998953,1609.74064,1701.701275,11879.74765,7745250734.0,1996.020133,1959933.0,3880347
GEO,Georgia,2007,0.0,1127.763136,0.0,1.7777313,1451.380982,1949.084831,2064.695682,0.0,2433.92639,145.3988639,0.0,0.003449855,0.941785179,113.9186942,15.89595902,1686.746231,504.1744935,40.88997339,0.0,0.009328689,0.780904891,42.34564889,669.0665943,34.85834252,56.54466552,445.8294207,2938.100883,1314.051973,0.0,1.790509844,1453.103672,42.34564889,3177.899541,2115.449983,1743.290896,12786.03311,10172931089.0,2635.366503,1992462.0,3860158
GEO,Georgia,2008,0.0,1308.763759,0.0,0.0,794.5315523,1832.198762,1744.189123,0.0,2366.0025,141.7651219,0.0,0.0,0.501036668,113.5261018,13.19271198,1434.832335,479.5509482,38.48084501,0.0,0.0,0.435803286,35.93798106,678.8381812,28.75530451,55.90046899,560.8949447,2845.553448,1489.009726,0.0,0.0,795.4683923,35.93798106,3185.45799,1786.137139,1490.732804,11628.29748,12795145131.0,3324.753721,1995224.0,3848449
GEO,Georgia,2009,99.94285714,1134.109297,0.0,0.0,1172.294771,1893.128114,2170.066695,0.0,2314.751696,146.4626151,0.0,0.0,0.702902471,119.3084842,14.03367167,1437.94834,623.4326361,21.75566043,0.0,0.0,0.753373827,42.92446479,682.5089938,30.02803194,55.43548486,653.5169319,3038.127189,1302.327573,0.0,0.0,1173.751048,42.92446479,3348.462524,2214.128398,1493.383825,12613.10502,10766920066.0,2822.689397,2009937.0,3814419
GEO,Georgia,2010,78.57142857,1159.305605,0.0,31.56648885,820.2154035,1974.680996,2228.024189,0.0,2367.486588,130.8105874,0.0,0.083495706,0.484004635,119.4379203,14.01928853,1450.137901,592.4636985,21.748593,0.0,0.225779205,0.550768,44.1107191,716.116847,33.3418477,54.28628164,160.9655971,3038.521715,1311.864785,0.0,31.87576376,821.2501762,44.1107191,2971.20136,2275.385326,1504.424183,11998.63403,12426907967.0,3281.729309,2019947.0,3786695
GEO,Georgia,2011,84.85714286,1398.285941,55.3410858,0.0,1040.510417,2745.123792,2258.469836,0.0,2373.414547,114.7319763,0.010836017,0.0,0.670291153,122.4144195,14.08830509,1465.62526,611.6395582,35.86229793,0.410220636,0.0,0.527800529,41.61072745,716.7443112,31.0665937,53.93003722,268.8095321,3069.911248,1548.880215,55.76214245,0.0,1041.708508,41.61072745,3853.092054,2303.624735,1519.555297,13434.14493,15475290469.0,4119.668183,2023622.0,3756441
GEO,Georgia,2012,99.94285715,1745.277382,55.3410858,18.93996,1140.46812,2832.9224,2378.381952,0.0,2653.328508,117.3156326,0.010836017,0.0500976,0.747786853,128.4203034,14.59382236,1478.467056,656.7338415,37.43774774,0.410220636,0.135468,0.5387238,43.35154069,716.8786558,32.02496807,52.90241803,395.0773571,3410.005207,1900.030762,55.76214245,19.1255256,1141.754631,43.35154069,4073.298716,2425.000742,1531.369474,14599.69874,16894392033.0,4530.695334,2047817.0,3728874
GEO,Georgia,2013,69.14285709,1452.022951,3.0743856,3.15671187,973.6484924,3577.361902,3067.524301,0.0,2731.996437,173.8404365,0.000601978,0.008349737,0.63840587,136.8834546,28.39523618,1482.83669,665.292633,25.5136109,0.022789152,0.022578371,0.459923085,60.92350369,720.7071544,67.31510123,52.58007507,229.8847971,3466.431927,1651.376998,3.09777673,3.187639978,974.7468214,60.92350369,4664.837308,3163.234638,1535.416765,15523.25338,17517660144.0,4712.002294,2028158.0,3717668
GEO,Georgia,2014,76.89523781,1682.375035,3.089658,3.15671187,1108.891158,3530.500604,3432.338316,0.0,2778.353699,168.3088601,0.000604968,0.008349737,0.72708234,131.293228,31.37054694,1494.79072,686.752711,23.56070828,0.02290236,0.022578371,0.523807766,62.23003409,720.1301905,76.67559946,52.55176484,252.7163253,3542.001648,1874.244603,3.113165328,3.187639978,1110.142048,62.23003409,4634.640347,3540.384463,1547.342485,16317.28643,17966015109.0,4830.334862,2039447.0,3719414
GEO,Georgia,2015,56.41428529,1843.544772,3.0743856,3.15671187,1261.063233,3704.087438,3774.181982,0.0,2323.861938,145.0234341,0.000601978,0.008349737,1.037452669,130.3617786,27.11876786,1504.747826,590.162398,21.84060308,0.022789152,0.022578371,0.595689406,63.54880627,719.8844556,73.11843446,52.21259049,271.442974,2970.438621,2010.408809,3.09777673,3.187639978,1262.696375,63.54880627,4825.776646,3874.419184,1556.960417,16570.53427,15223796149.0,4086.622347,2064634.0,3725276
